name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,Product_url
Dr. Reckeweg Nux Vomica Dilution 200 CH,bottle of 11 ml Dilution,160,144,https://www.1mg.com/otc/dr.-reckeweg-nux-vomica-dilution-200-ch-otc336265
SBL Passiflora Incarnata Mother Tincture Q,bottle of 30 ml Mother Tincture,125,113,https://www.1mg.com/otc/sbl-passiflora-incarnata-mother-tincture-q-otc338434
Haslab Drox 24 Sciatec Drop,bottle of 30 ml Drop,160,144,https://www.1mg.com/otc/haslab-drox-24-sciatec-drop-otc339527
SBL Avena Sativa Mother Tincture Q,bottle of 30 ml Mother Tincture,105,94,https://www.1mg.com/otc/sbl-avena-sativa-mother-tincture-q-otc338515
Allen A87 Creatinine & Blood Urea Drop,bottle of 30 ml Drop,170,123,https://www.1mg.com/otc/allen-a87-creatinine-blood-urea-drop-otc330464
SBL Caladium Seguinum Dilution 30 CH,bottle of 30 ml Dilution,100,87,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-30-ch-otc346065
SBL Damiana Mother Tincture Q,bottle of 30 ml Mother Tincture,150,124,https://www.1mg.com/otc/sbl-damiana-mother-tincture-q-otc338489
SBL Thuja Ointment,tube of 25 gm Ointment,75,68,https://www.1mg.com/otc/sbl-thuja-ointment-otc331009
Bakson Sinus Aid Tablet,bottle of 75 tablets,215,189,https://www.1mg.com/otc/bakson-sinus-aid-tablet-otc325988
New Life NL-3 Blood Cholestrol Drop,bottle of 30 ml Drop,150,132,https://www.1mg.com/otc/new-life-nl-3-blood-cholestrol-drop-otc326170
SBL Five Phos A+ Nerve Tonic,bottle of 115 ml Tonic,130,119,https://www.1mg.com/otc/sbl-five-phos-a-nerve-tonic-otc396895
Dr Willmar Schwabe India Sabal Serrulata Mother Tincture Q,bottle of 30 ml Mother Tincture,320,282,https://www.1mg.com/otc/dr-willmar-schwabe-india-sabal-serrulata-mother-tincture-q-otc391635
Dr. Reckeweg Vita-C 15 Sedative Nerve Tonic,bottle of 250 ml Tonic,695,588,https://www.1mg.com/otc/dr.-reckeweg-vita-c-15-sedative-nerve-tonic-otc325996
Dr. Reckeweg R95 Alfalfa Tonic,bottle of 250 ml Tonic,645,580,https://www.1mg.com/otc/dr.-reckeweg-r95-alfalfa-tonic-otc336743
Dr. Reckeweg R3 Heart Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r3-heart-drop-otc326082
Dr. Reckeweg R1 Inflammation Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r1-inflammation-drop-otc327511
Dr. Reckeweg R29 Vertigo And Syncope Drop,bottle of 22 ml Drop,270,252,https://www.1mg.com/otc/dr.-reckeweg-r29-vertigo-and-syncope-drop-otc327467
SBL Thuja Roll-On,bottle of 10 ml Liquid,50,45,https://www.1mg.com/otc/sbl-thuja-roll-on-otc337713
Dr. Reckeweg Bio-Combination 20 (BC 20) Tablet,bottle of 20 gm Biocombination Tablet,185,167,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-20-bc-20-tablet-otc326263
SBL Cephalandra Indica Mother Tincture Q,bottle of 30 ml Mother Tincture,105,91,https://www.1mg.com/otc/sbl-cephalandra-indica-mother-tincture-q-otc338504
SBL Carduus Marianus Mother Tincture Q,bottle of 30 ml Mother Tincture,150,135,https://www.1mg.com/otc/sbl-carduus-marianus-mother-tincture-q-otc338507
Dr. Reckeweg Aconitum Napellus Dilution 30 CH,bottle of 11 ml Dilution,135,121,https://www.1mg.com/otc/dr.-reckeweg-aconitum-napellus-dilution-30-ch-otc326806
Dr. Reckeweg R64 Albuminuria Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r64-albuminuria-drop-otc327393
Bjain Syzygium Jambolanum Mother Tincture Q,bottle of 100 ml Mother Tincture,195,172,https://www.1mg.com/otc/bjain-syzygium-jambolanum-mother-tincture-q-otc329100
SBL Euphrasia 10% Eye Drop,bottle of 10 ml Eye Drop,90,81,https://www.1mg.com/otc/sbl-euphrasia-10-eye-drop-otc326104
Dr Willmar Schwabe Germany Gastrobin Drop,bottle of 20 ml Drop,230,202,https://www.1mg.com/otc/dr-willmar-schwabe-germany-gastrobin-drop-otc326129
SBL Bio-Combination 19 Tablet,bottle of 25 gm Biocombination Tablet,110,97,https://www.1mg.com/otc/sbl-bio-combination-19-tablet-otc331068
Dr Willmar Schwabe India Alpha-Liv Liver Tonic,bottle of 500 ml Tonic,350,308,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-liv-liver-tonic-otc492430
Dr. Reckeweg Arnica Mont Dilution 200 CH,bottle of 11 ml Dilution,160,148,https://www.1mg.com/otc/dr.-reckeweg-arnica-mont-dilution-200-ch-otc335897
Dr Willmar Schwabe India Cydonia Vulgaris Dilution 30 CH,bottle of 30 ml Dilution,100,85,https://www.1mg.com/otc/dr-willmar-schwabe-india-cydonia-vulgaris-dilution-30-ch-otc372354
SBL Lycopodium Clavatum Dilution 200 CH,bottle of 30 ml Dilution,115,106,https://www.1mg.com/otc/sbl-lycopodium-clavatum-dilution-200-ch-otc338199
SBL Mullein Ear Drop,bottle of 10 ml Ear Drop,65,57,https://www.1mg.com/otc/sbl-mullein-ear-drop-otc328981
Dr. Reckeweg Carbo Veg Dilution 30 CH,bottle of 11 ml Dilution,135,122,https://www.1mg.com/otc/dr.-reckeweg-carbo-veg-dilution-30-ch-otc326855
Dr. Reckeweg R23 Eczema Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r23-eczema-drop-otc326060
Bangalore Bio-Plasgens Soundarya Complexion Cream,tube of 30 gm Cream,110,97,https://www.1mg.com/otc/bangalore-bio-plasgens-soundarya-complexion-cream-otc388383
Dr. Reckeweg Five Phos 6X Tablet,bottle of 20 gm Tablet,185,183,https://www.1mg.com/otc/dr.-reckeweg-five-phos-6x-tablet-otc653785
SBL Calendula Officinalis Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-calendula-officinalis-mother-tincture-q-otc338509
Dr Willmar Schwabe India Berberis Vulgaris Mother Tincture Q,bottle of 30 ml Mother Tincture,110,77,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-vulgaris-mother-tincture-q-otc390805
St. George’s Erectin Q L Drop,bottle of 30 ml Drop,150,141,https://www.1mg.com/otc/st.-george-s-erectin-q-l-drop-otc529693
ADEL 12 Dercut Drop,bottle of 20 ml Drop,295,245,https://www.1mg.com/otc/adel-12-dercut-drop-otc326110
Lord's Ylo Tablet,bottle of 50 tablets,150,142,https://www.1mg.com/otc/lord-s-ylo-tablet-otc357512
ADEL 28 Plevent Drop,bottle of 20 ml Drop,295,266,https://www.1mg.com/otc/adel-28-plevent-drop-otc326092
SBL Tranquil Tablet,bottle of 25 gm Tablet,165,152,https://www.1mg.com/otc/sbl-tranquil-tablet-otc326115
SBL Rhus Toxicodendron Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-rhus-toxicodendron-dilution-30-ch-otc338184
Dr. Reckeweg Rhus Tox Dilution 30 CH,bottle of 11 ml Dilution,135,121,https://www.1mg.com/otc/dr.-reckeweg-rhus-tox-dilution-30-ch-otc326469
SBL FP Ointment,tube of 25 gm Ointment,80,70,https://www.1mg.com/otc/sbl-fp-ointment-otc330996
Dr. Reckeweg Bio-Combination 6 (BC 6) Tablet,bottle of 20 gm Biocombination Tablet,185,167,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-6-bc-6-tablet-otc326281
SBL Ginkgo Biloba Mother Tincture Q,bottle of 30 ml Mother Tincture,220,198,https://www.1mg.com/otc/sbl-ginkgo-biloba-mother-tincture-q-otc338479
ADEL 64 Mundipur Uric Acid Drop,bottle of 20 ml Drop,295,266,https://www.1mg.com/otc/adel-64-mundipur-uric-acid-drop-otc662025
SBL Echinacea Angustifolia Mother Tincture Q,bottle of 30 ml Mother Tincture,220,194,https://www.1mg.com/otc/sbl-echinacea-angustifolia-mother-tincture-q-otc338488
Dr Willmar Schwabe India Crataegus Oxyacantha Mother Tincture Q,bottle of 30 ml Mother Tincture,110,97,https://www.1mg.com/otc/dr-willmar-schwabe-india-crataegus-oxyacantha-mother-tincture-q-otc390911
Dr. Reckeweg Thuja Occ Dilution 200 CH,bottle of 11 ml Dilution,160,141,https://www.1mg.com/otc/dr.-reckeweg-thuja-occ-dilution-200-ch-otc331559
ADEL 18 Glucorect Drop,bottle of 20 ml Drop,295,265,https://www.1mg.com/otc/adel-18-glucorect-drop-otc327731
SBL Aconitum Napellus Dilution 30 CH,bottle of 30 ml Dilution,100,92,https://www.1mg.com/otc/sbl-aconitum-napellus-dilution-30-ch-otc345696
Bakson's Calcarea Fluorica Biochemic Tablet 12X,bottle of 4500 biochemic tablets,720,619,https://www.1mg.com/otc/bakson-s-calcarea-fluorica-biochemic-tablet-12x-otc697440
Bakson Tonsil Aid Tablet,bottle of 200 tablets,500,440,https://www.1mg.com/otc/bakson-tonsil-aid-tablet-otc386768
Dr. Reckeweg Syzygium Jamb Mother Tincture Q,bottle of 20 ml Mother Tincture,255,229,https://www.1mg.com/otc/dr.-reckeweg-syzygium-jamb-mother-tincture-q-otc327494
SBL Cholesterinum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,175,154,https://www.1mg.com/otc/sbl-cholesterinum-trituration-tablet-3x-otc339005
Dr. Reckeweg R51 Thyroid Intoxication Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r51-thyroid-intoxication-drop-otc327416
Dr. Reckeweg R19 Glandular Drops for Men,bottle of 22 ml Drop,270,252,https://www.1mg.com/otc/dr.-reckeweg-r19-glandular-drops-for-men-otc327102
SBL Guatteria Gaumeri Mother Tincture Q,bottle of 30 ml Mother Tincture,330,290,https://www.1mg.com/otc/sbl-guatteria-gaumeri-mother-tincture-q-otc746024
SBL Ferrum Phosphoricum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,110,97,https://www.1mg.com/otc/sbl-ferrum-phosphoricum-biochemic-tablet-6x-otc331056
Haslab Drox 20 Pilovarin Drop,bottle of 30 ml Drop,160,147,https://www.1mg.com/otc/haslab-drox-20-pilovarin-drop-otc339523
ADEL 25 Somcupin Drop,bottle of 20 ml Drop,295,260,https://www.1mg.com/otc/adel-25-somcupin-drop-otc326095
SBL Arnica Montana Herbal Shampoo With Conditioner,bottle of 200 ml Conditioner,180,155,https://www.1mg.com/otc/sbl-arnica-montana-herbal-shampoo-with-conditioner-otc330953
Wheezal Hekla Lava Tooth Powder,bottle of 100 gm Powder,130,115,https://www.1mg.com/otc/wheezal-hekla-lava-tooth-powder-otc438662
SBL Leptandra Mother Tincture Q,bottle of 30 ml Mother Tincture,520,458,https://www.1mg.com/otc/sbl-leptandra-mother-tincture-q-otc338677
SBL Agnus Castus Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-agnus-castus-dilution-30-ch-otc345716
Similia Moringa Oleifera Mother Tincture Q,bottle of 30 ml Mother Tincture,180,162,https://www.1mg.com/otc/similia-moringa-oleifera-mother-tincture-q-otc693735
SBL Carbo Vegetabilis Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-carbo-vegetabilis-dilution-200-ch-otc338207
Dr Willmar Schwabe India Jaborandi Mother Tincture Q,bottle of 30 ml Mother Tincture,150,132,https://www.1mg.com/otc/dr-willmar-schwabe-india-jaborandi-mother-tincture-q-otc391105
SBL Ruta Graveolens Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-ruta-graveolens-dilution-200-ch-otc348620
Bakson Gastro Aid Tablet,bottle of 75 tablets,215,189,https://www.1mg.com/otc/bakson-gastro-aid-tablet-otc326081
SBL Belladonna Dilution 200 CH,bottle of 30 ml Dilution,115,104,https://www.1mg.com/otc/sbl-belladonna-dilution-200-ch-otc338212
Dr Willmar Schwabe India Hydrastis Canadensis Mother Tincture Q,bottle of 30 ml Mother Tincture,515,453,https://www.1mg.com/otc/dr-willmar-schwabe-india-hydrastis-canadensis-mother-tincture-q-otc391074
SBL Drops No. 4 (For BP),bottle of 30 ml Drop,185,140,https://www.1mg.com/otc/sbl-drops-no.-4-for-bp-otc329038
SBL Bio-Combination 17 Tablet,bottle of 25 gm Biocombination Tablet,110,91,https://www.1mg.com/otc/sbl-bio-combination-17-tablet-otc331065
SBL Silicea Dilution 200 CH,bottle of 30 ml Dilution,115,98,https://www.1mg.com/otc/sbl-silicea-dilution-200-ch-otc338177
Dr Willmar Schwabe India Dizester Digestive Tonic Sugar Free,bottle of 500 ml Tonic,375,329,https://www.1mg.com/otc/dr-willmar-schwabe-india-dizester-digestive-tonic-sugar-free-otc492426
Dr Willmar Schwabe India Phytolacca Berry Mother Tincture Q,bottle of 30 ml Mother Tincture,240,216,https://www.1mg.com/otc/dr-willmar-schwabe-india-phytolacca-berry-mother-tincture-q-otc391484
Dr. Reckeweg Sulphur Dilution 200 CH,bottle of 11 ml Dilution,160,144,https://www.1mg.com/otc/dr.-reckeweg-sulphur-dilution-200-ch-otc331625
Dr. Reckeweg R81 Analgesic Drop,bottle of 22 ml Drop,270,241,https://www.1mg.com/otc/dr.-reckeweg-r81-analgesic-drop-otc327384
ADEL 82 Hepat Liver Tonic Drop,bottle of 150 ml Drop,485,427,https://www.1mg.com/otc/adel-82-hepat-liver-tonic-drop-otc723949
Hapdco Aqui Plus Face Wash,tube of 50 ml Face Wash,99,87,https://www.1mg.com/otc/hapdco-aqui-plus-face-wash-otc357742
SBL Ginseng Mother Tincture Q,bottle of 30 ml Mother Tincture,365,321,https://www.1mg.com/otc/sbl-ginseng-mother-tincture-q-otc338483
SBL Vertefine Drop,bottle of 30 ml Drop,150,132,https://www.1mg.com/otc/sbl-vertefine-drop-otc328991
Essentia Aurea Gold Drop,bottle of 30 ml Drop,200,184,https://www.1mg.com/otc/essentia-aurea-gold-drop-otc326134
Dr. Reckeweg Cholesterinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,240,216,https://www.1mg.com/otc/dr.-reckeweg-cholesterinum-trituration-tablet-3x-otc326942
ADEL 51 Psy-Stabil Drop,bottle of 20 ml Drop,295,266,https://www.1mg.com/otc/adel-51-psy-stabil-drop-otc327724
SBL Swertia Chirata Mother Tincture Q,bottle of 30 ml Mother Tincture,150,132,https://www.1mg.com/otc/sbl-swertia-chirata-mother-tincture-q-otc338416
Dr Willmar Schwabe India Alpha - MP Drop,bottle of 30 ml Drop,125,110,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-mp-drop-otc326047
Dr. Reckeweg Ginseng Mother Tincture Q,bottle of 20 ml Mother Tincture,295,266,https://www.1mg.com/otc/dr.-reckeweg-ginseng-mother-tincture-q-otc327739
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,320,272,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Adven Osteodin-Z Oral Drops (25ml Each),box of 2 bottles,555,550,https://www.1mg.com/otc/adven-osteodin-z-oral-drops-25ml-each-otc567455
SBL Acidum Phosphoricum Mother Tincture Q,bottle of 30 ml Mother Tincture,125,113,https://www.1mg.com/otc/sbl-acidum-phosphoricum-mother-tincture-q-otc338535
Dr Willmar Schwabe Germany Damiaplant Drop,bottle of 20 ml Drop,575,535,https://www.1mg.com/otc/dr-willmar-schwabe-germany-damiaplant-drop-otc325893
SBL Caladium Seguinum Dilution 200 CH,bottle of 30 ml Dilution,115,103,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-200-ch-otc346066
SBL Diaboherb Capsule,box of 100 capsules,500,440,https://www.1mg.com/otc/sbl-diaboherb-capsule-otc329033
SBL Nixocid Syrup,bottle of 500 ml Syrup,305,268,https://www.1mg.com/otc/sbl-nixocid-syrup-otc325887
SBL Thuja Occidentalis Mother Tincture Q,bottle of 30 ml Mother Tincture,150,135,https://www.1mg.com/otc/sbl-thuja-occidentalis-mother-tincture-q-otc338408
ADEL 17 Glautaract Drop,bottle of 20 ml Drop,295,262,https://www.1mg.com/otc/adel-17-glautaract-drop-otc326103
SBL Alfalfa Tonic with Ginseng,bottle of 115 ml Tonic,130,114,https://www.1mg.com/otc/sbl-alfalfa-tonic-with-ginseng-otc328975
SBL Sulphur Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-sulphur-dilution-30-ch-otc338174
Dr Willmar Schwabe India Chelidonium Majus Mother Tincture Q,bottle of 30 ml Mother Tincture,150,133,https://www.1mg.com/otc/dr-willmar-schwabe-india-chelidonium-majus-mother-tincture-q-otc390853
SBL Hypericum Perforatum Dilution 200 CH,bottle of 30 ml Dilution,115,100,https://www.1mg.com/otc/sbl-hypericum-perforatum-dilution-200-ch-otc347950
Dr. Reckeweg R8 Jut-U-Sin Cough Syrup,bottle of 150 ml Syrup,490,441,https://www.1mg.com/otc/dr.-reckeweg-r8-jut-u-sin-cough-syrup-otc326074
Dr Willmar Schwabe India Zauber Hair Drop,bottle of 30 ml Drop,195,175,https://www.1mg.com/otc/dr-willmar-schwabe-india-zauber-hair-drop-otc784654
ADEL 21 Proscenat Drop,bottle of 20 ml Drop,295,266,https://www.1mg.com/otc/adel-21-proscenat-drop-otc326098
SBL Fucus Vesiculosus Mother Tincture Q,bottle of 30 ml Mother Tincture,150,135,https://www.1mg.com/otc/sbl-fucus-vesiculosus-mother-tincture-q-otc338484
Dr. Reckeweg R70 Neuralgia Drop,bottle of 22 ml Drop,270,238,https://www.1mg.com/otc/dr.-reckeweg-r70-neuralgia-drop-otc326000
SBL Hepar Sulphur Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-hepar-sulphur-dilution-200-ch-otc347863
Dr. Reckeweg Titanium Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,240,216,https://www.1mg.com/otc/dr.-reckeweg-titanium-trituration-tablet-3x-otc326927
Dr. Reckeweg Kalmegh Mother Tincture Q,bottle of 20 ml Mother Tincture,335,329,https://www.1mg.com/otc/dr.-reckeweg-kalmegh-mother-tincture-q-otc327588
Wheezal Mel-X Melasma Cream,tube of 25 gm Cream,135,119,https://www.1mg.com/otc/wheezal-mel-x-melasma-cream-otc713516
Dr Willmar Schwabe India Passiflora Incarnata Mother Tincture Q,bottle of 30 ml Mother Tincture,125,110,https://www.1mg.com/otc/dr-willmar-schwabe-india-passiflora-incarnata-mother-tincture-q-otc391475
SBL Bio-Combination 28 Tablet,bottle of 25 gm Biocombination Tablet,110,97,https://www.1mg.com/otc/sbl-bio-combination-28-tablet-otc331081
SBL Arsenicum Album Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-arsenicum-album-dilution-200-ch-otc345914
Dr Willmar Schwabe India Alpha-Coff Cough Syrup,bottle of 100 ml Syrup,115,105,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-coff-cough-syrup-otc407060
Dr. Reckeweg Wiesbaden Dilution 30 CH,bottle of 11 ml Dilution,135,130,https://www.1mg.com/otc/dr.-reckeweg-wiesbaden-dilution-30-ch-otc326318
SBL Alfalfa Tonic Paediatric,bottle of 180 ml Tonic,175,135,https://www.1mg.com/otc/sbl-alfalfa-tonic-paediatric-otc328980
SBL Withania Somnifera Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-withania-somnifera-mother-tincture-q-otc338405
SBL Kali Bichromicum Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-kali-bichromicum-dilution-30-ch-otc338319
Dr. Reckeweg Damiana Mother Tincture Q,bottle of 20 ml Mother Tincture,255,224,https://www.1mg.com/otc/dr.-reckeweg-damiana-mother-tincture-q-otc327754
Dr Willmar Schwabe India Rauwolfia Serpentina Mother Tincture Q,bottle of 30 ml Mother Tincture,110,97,https://www.1mg.com/otc/dr-willmar-schwabe-india-rauwolfia-serpentina-mother-tincture-q-otc391561
Dr Willmar Schwabe India Topi Thuja Cream,tube of 25 gm Cream,80,70,https://www.1mg.com/otc/dr-willmar-schwabe-india-topi-thuja-cream-otc327365
SBL Gelsemium Sempervirens Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-gelsemium-sempervirens-dilution-30-ch-otc338332
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,320,272,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Bakson Tonsil Aid Tablet,bottle of 75 tablets,320,215,https://www.1mg.com/otc/bakson-tonsil-aid-tablet-otc402187
SBL Causticum Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-causticum-dilution-200-ch-otc346123
ADEL 2 Apo-Ham Drop,bottle of 20 ml Drop,295,260,https://www.1mg.com/otc/adel-2-apo-ham-drop-otc327734
Lord's Ylo Tablet,bottle of 1000 tablets,1200,1056,https://www.1mg.com/otc/lord-s-ylo-tablet-otc561524
Dr. Reckeweg Chelidonium Maj Mother Tincture Q,bottle of 20 ml Mother Tincture,255,224,https://www.1mg.com/otc/dr.-reckeweg-chelidonium-maj-mother-tincture-q-otc327771
SBL Calcarea Fluorica Biochemic Tablet 12X,bottle of 25 gm Biochemic Tablet,110,97,https://www.1mg.com/otc/sbl-calcarea-fluorica-biochemic-tablet-12x-otc331088
Bakson's Natrum Sulphuricum Biochemic Tablet 6X,bottle of 250 biochemic tablets,120,106,https://www.1mg.com/otc/bakson-s-natrum-sulphuricum-biochemic-tablet-6x-otc695563
ADEL 79 Ferrodona Tonic,bottle of 250 ml Tonic,860,791,https://www.1mg.com/otc/adel-79-ferrodona-tonic-otc327719
SBL Acid Chryso Ointment,tube of 25 gm Ointment,75,67,https://www.1mg.com/otc/sbl-acid-chryso-ointment-otc330970
Dr. Reckeweg Yohimbinum Mother Tincture Q,bottle of 20 ml Mother Tincture,75,365,https://www.1mg.com/otc/dr.-reckeweg-yohimbinum-mother-tincture-q-otc327117
Dr Willmar Schwabe India Withania Somnifera (Aswagandha) Mother Tincture Q,bottle of 30 ml Mother Tincture,110,97,https://www.1mg.com/otc/dr-willmar-schwabe-india-withania-somnifera-aswagandha-mother-tincture-q-otc391463
SBL Allium Sativum Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-allium-sativum-mother-tincture-q-otc338524
