name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,Product_url
Dr. Reckeweg Caladium Seg Dilution 200 CH,bottle of 11 ml Dilution,160,144,https://www.1mg.com/otc/dr.-reckeweg-caladium-seg-dilution-200-ch-otc335830
Bakson's Diab Aid Drop,bottle of 30 ml Drop,155,140,https://www.1mg.com/otc/bakson-s-diab-aid-drop-otc326086
Dr Willmar Schwabe India Munostim Globules,bottle of 10 gm Globules,125,110,https://www.1mg.com/otc/dr-willmar-schwabe-india-munostim-globules-otc326148
Bakson Kof Aid Tablet,bottle of 75 tablets,215,188,https://www.1mg.com/otc/bakson-kof-aid-tablet-otc327314
SBL Sleeptite Tablet,bottle of 25 gm Tablet,165,149,https://www.1mg.com/otc/sbl-sleeptite-tablet-otc329013
SBL Silicea Dilution 30 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-silicea-dilution-30-ch-otc338178
ADEL 13 Fattex Drop,bottle of 20 ml Drop,295,260,https://www.1mg.com/otc/adel-13-fattex-drop-otc326108
SBL Drops No. 1 (For Hair Care),bottle of 30 ml Drop,185,163,https://www.1mg.com/otc/sbl-drops-no.-1-for-hair-care-otc325890
Bjain Crataegus Oxyacantha Mother Tincture Q,bottle of 100 ml Mother Tincture,195,150,https://www.1mg.com/otc/bjain-crataegus-oxyacantha-mother-tincture-q-otc445534
Boericke and Tafel Glow & Fairness Soap,packet of 75 gm Soap,50,44,https://www.1mg.com/otc/boericke-and-tafel-glow-fairness-soap-otc498711
SBL Lecithinum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,175,158,https://www.1mg.com/otc/sbl-lecithinum-trituration-tablet-3x-otc338981
SBL Ignatia Amara Dilution 200 CH,bottle of 30 ml Dilution,115,103,https://www.1mg.com/otc/sbl-ignatia-amara-dilution-200-ch-otc347956
Dr. Reckeweg Pulsatilla Dilution 30 CH,bottle of 11 ml Dilution,135,125,https://www.1mg.com/otc/dr.-reckeweg-pulsatilla-dilution-30-ch-otc326477
Dr. Reckeweg Caladium Seg Dilution 30 CH,bottle of 11 ml Dilution,135,119,https://www.1mg.com/otc/dr.-reckeweg-caladium-seg-dilution-30-ch-otc326875
SBL Agnus Castus Dilution 200 CH,bottle of 30 ml Dilution,115,112,https://www.1mg.com/otc/sbl-agnus-castus-dilution-200-ch-otc345717
Bakson AC#9 Tablet,bottle of 200 tablets,500,450,https://www.1mg.com/otc/bakson-ac-9-tablet-otc502623
SBL Conium Maculatum Dilution 200 CH,bottle of 30 ml Dilution,115,103,https://www.1mg.com/otc/sbl-conium-maculatum-dilution-200-ch-otc346425
SBL Kalmegh Syrup,bottle of 115 ml Syrup,115,101,https://www.1mg.com/otc/sbl-kalmegh-syrup-otc331014
Dr. Reckeweg Rauwolfia Serp Mother Tincture Q,bottle of 20 ml Mother Tincture,335,305,https://www.1mg.com/otc/dr.-reckeweg-rauwolfia-serp-mother-tincture-q-otc327530
SBL Sulphur Ointment,tube of 25 gm Ointment,75,68,https://www.1mg.com/otc/sbl-sulphur-ointment-otc331007
SBL Calcarea Carbonica Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-calcarea-carbonica-dilution-30-ch-otc338361
Dr Willmar Schwabe India Aspidosperma Mother Tincture Q,bottle of 30 ml Mother Tincture,220,194,https://www.1mg.com/otc/dr-willmar-schwabe-india-aspidosperma-mother-tincture-q-otc390789
Dr Willmar Schwabe India Leptandra Mother Tincture Q,bottle of 30 ml Mother Tincture,515,453,https://www.1mg.com/otc/dr-willmar-schwabe-india-leptandra-mother-tincture-q-otc391268
Bakson Calci Aid Tablet,bottle of 75 tablets,215,208,https://www.1mg.com/otc/bakson-calci-aid-tablet-otc327082
Allen A92 C.K.D.(Chronic Kidney Diseases) Drop,bottle of 30 ml Drop,170,153,https://www.1mg.com/otc/allen-a92-c.k.d.-chronic-kidney-diseases-drop-otc330463
Bakson Calci Aid Tablet,bottle of 200 tablets,500,440,https://www.1mg.com/otc/bakson-calci-aid-tablet-otc502732
SBL Colocynthis Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-colocynthis-dilution-200-ch-otc346213
SBL Acidum Phosphoricum Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-acidum-phosphoricum-dilution-30-ch-otc338402
Bakson's Compound # 46 Slim Tablet,bottle of 100 tablets,135,119,https://www.1mg.com/otc/bakson-s-compound-46-slim-tablet-otc503002
ADEL 20 Proaller Drop,bottle of 20 ml Drop,295,260,https://www.1mg.com/otc/adel-20-proaller-drop-otc326099
SBL Nyctanthes Arbor Tristis Mother Tincture Q,bottle of 30 ml Mother Tincture,105,101,https://www.1mg.com/otc/sbl-nyctanthes-arbor-tristis-mother-tincture-q-otc338654
SBL Symphytum Officinale Mother Tincture Q,bottle of 30 ml Mother Tincture,150,135,https://www.1mg.com/otc/sbl-symphytum-officinale-mother-tincture-q-otc338413
Dr. Reckeweg Ruta Graveolens Dilution 200 CH,bottle of 11 ml Dilution,160,149,https://www.1mg.com/otc/dr.-reckeweg-ruta-graveolens-dilution-200-ch-otc331692
SBL Orthomuv Massage Oil,bottle of 60 ml Oil,100,88,https://www.1mg.com/otc/sbl-orthomuv-massage-oil-otc329001
Dr Willmar Schwabe India Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,115,103,https://www.1mg.com/otc/dr-willmar-schwabe-india-thuja-occidentalis-dilution-200-ch-otc406388
ADEL 29 Akutur Drop,bottle of 20 ml Drop,295,260,https://www.1mg.com/otc/adel-29-akutur-drop-otc326091
Bakson's Calcarea Fluorica Biochemic Tablet 6X,bottle of 4500 biochemic tablets,720,655,https://www.1mg.com/otc/bakson-s-calcarea-fluorica-biochemic-tablet-6x-otc697438
SBL Aurum Muriaticum Natronatum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,300,261,https://www.1mg.com/otc/sbl-aurum-muriaticum-natronatum-trituration-tablet-3x-otc339037
SBL Janosia Ashoka Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-janosia-ashoka-mother-tincture-q-otc338445
SBL Thiosinaminum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,175,154,https://www.1mg.com/otc/sbl-thiosinaminum-trituration-tablet-3x-otc338959
Bakson's Calcarea Phosphorica Biochemic Tablet 12X,bottle of 4500 biochemic tablets,720,648,https://www.1mg.com/otc/bakson-s-calcarea-phosphorica-biochemic-tablet-12x-otc695102
Bakson's Biocombination 19 Tablet,bottle of 4500 biocombination tablets,720,638,https://www.1mg.com/otc/bakson-s-biocombination-19-tablet-otc694671
Dr Willmar Schwabe India Alpha - TS Drop,bottle of 30 ml Drop,125,110,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-ts-drop-otc325917
Bakson's Calcarea Phosphorica Biochemic Tablet 30X,bottle of 4500 biochemic tablets,655,589,https://www.1mg.com/otc/bakson-s-calcarea-phosphorica-biochemic-tablet-30x-otc695104
Wheezal Calendula Nectar Prickly Heat Powder,bottle of 300 gm Powder,210,185,https://www.1mg.com/otc/wheezal-calendula-nectar-prickly-heat-powder-otc537007
Medisynth Gasgan Forte Drop,bottle of 30 ml Drop,175,154,https://www.1mg.com/otc/medisynth-gasgan-forte-drop-otc339287
Allen A15 Indigestion Gas & Acidity Drop,bottle of 30 ml Drop,170,153,https://www.1mg.com/otc/allen-a15-indigestion-gas-acidity-drop-otc330266
SBL Homeodent Saunf Toothpaste,tube of 100 gm Toothpaste,75,66,https://www.1mg.com/otc/sbl-homeodent-saunf-toothpaste-otc328968
Bakson's Magnesium Phosphoricum Biochemic Tablet 12X,bottle of 4500 biochemic tablets,720,619,https://www.1mg.com/otc/bakson-s-magnesium-phosphoricum-biochemic-tablet-12x-otc695219
Bakson's Biocombination 25 Tablet,bottle of 4500 biocombination tablets,720,640,https://www.1mg.com/otc/bakson-s-biocombination-25-tablet-otc694726
Bakson's Natrum Phosphoricum Biochemic Tablet 12X,bottle of 4500 biochemic tablets,720,619,https://www.1mg.com/otc/bakson-s-natrum-phosphoricum-biochemic-tablet-12x-otc695237
Medisynth Gasgan Pill,bottle of 25 gm Tablet,125,113,https://www.1mg.com/otc/medisynth-gasgan-pill-otc339286
SBL Sulphur Dilution 6 CH,bottle of 30 ml Dilution,100,88,https://www.1mg.com/otc/sbl-sulphur-dilution-6-ch-otc349031
Bakson B22 Sinus Drop,bottle of 30 ml Drop,175,154,https://www.1mg.com/otc/bakson-b22-sinus-drop-otc388057
Allen A89 Cholesterol Drop,bottle of 30 ml Drop,170,153,https://www.1mg.com/otc/allen-a89-cholesterol-drop-otc330355
SBL Boerhaavia Diffusa Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-boerhaavia-diffusa-mother-tincture-q-otc348881
SBL Homeodent Tooth Paste Gel,tube of 100 gm Gel,75,67,https://www.1mg.com/otc/sbl-homeodent-tooth-paste-gel-otc330964
Dr Willmar Schwabe India Terminalia Arjuna Mother Tincture Q,bottle of 30 ml Mother Tincture,110,97,https://www.1mg.com/otc/dr-willmar-schwabe-india-terminalia-arjuna-mother-tincture-q-otc391598
SBL Chionanthus Virginica Mother Tincture Q,bottle of 30 ml Mother Tincture,365,321,https://www.1mg.com/otc/sbl-chionanthus-virginica-mother-tincture-q-otc338499
ADEL Alfalfa Tonic with Ginseng,bottle of 500 ml Tonic,1250,1100,https://www.1mg.com/otc/adel-alfalfa-tonic-with-ginseng-otc724466
Bakson Mig Aid Tablet,bottle of 200 tablets,500,440,https://www.1mg.com/otc/bakson-mig-aid-tablet-otc502878
ADEL 11 Defaeton Drop,bottle of 20 ml Drop,295,272,https://www.1mg.com/otc/adel-11-defaeton-drop-otc326112
Dr. Reckeweg Bio-Combination 19 (BC 19) Tablet,bottle of 20 gm Biocombination Tablet,185,177,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-19-bc-19-tablet-otc326265
SBL Allium Cepa Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-allium-cepa-dilution-30-ch-otc338390
Dr Willmar Schwabe India Rhus Toxicodendron Dilution 30 CH,bottle of 30 ml Dilution,100,84,https://www.1mg.com/otc/dr-willmar-schwabe-india-rhus-toxicodendron-dilution-30-ch-otc393454
SBL Carica Papaya Mother Tincture Q,bottle of 30 ml Mother Tincture,105,94,https://www.1mg.com/otc/sbl-carica-papaya-mother-tincture-q-otc338506
New Life NL-4 Gall-B-Tone Drop,bottle of 30 ml Drop,150,132,https://www.1mg.com/otc/new-life-nl-4-gall-b-tone-drop-otc489178
Dr Willmar Schwabe India Urea Pura Dilution 6 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/dr-willmar-schwabe-india-urea-pura-dilution-6-ch-otc406538
Dr. Reckeweg Baryta Carb Dilution 30 CH,bottle of 11 ml Dilution,135,121,https://www.1mg.com/otc/dr.-reckeweg-baryta-carb-dilution-30-ch-otc328889
Bakson AC#9 Tablet,bottle of 75 tablets,215,189,https://www.1mg.com/otc/bakson-ac-9-tablet-otc502622
Dr. Reckeweg Arsenicum Album 200 CH Dilution,bottle of 11 ml Dilution,160,159,https://www.1mg.com/otc/dr.-reckeweg-arsenicum-album-200-ch-dilution-otc328907
SBL Silicea Biochemic Tablet 12X,bottle of 25 gm Biochemic Tablet,110,97,https://www.1mg.com/otc/sbl-silicea-biochemic-tablet-12x-otc368310
Dr Willmar Schwabe India Calendula Officinalis Mother Tincture Q,bottle of 30 ml Mother Tincture,110,109,https://www.1mg.com/otc/dr-willmar-schwabe-india-calendula-officinalis-mother-tincture-q-otc390831
Medisynth Aqui Folium Cream,tube of 20 gm Cream,100,90,https://www.1mg.com/otc/medisynth-aqui-folium-cream-otc339304
ADEL 23 Ricura Drop,bottle of 20 ml Drop,295,266,https://www.1mg.com/otc/adel-23-ricura-drop-otc326097
ADEL 27 Inflamyar Drop,bottle of 20 ml Drop,295,266,https://www.1mg.com/otc/adel-27-inflamyar-drop-otc326093
Dr. Reckeweg R21 Reconstituant Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r21-reconstituant-drop-otc327478
Bhargava Angel Gloss Complexion Cream,tube of 30 gm Cream,110,97,https://www.1mg.com/otc/bhargava-angel-gloss-complexion-cream-otc327592
Bjain Phytolacca Berry Mother Tincture Q,bottle of 100 ml Mother Tincture,505,444,https://www.1mg.com/otc/bjain-phytolacca-berry-mother-tincture-q-otc445305
SBL Tonsilat Tablet,bottle of 25 gm Tablet,165,145,https://www.1mg.com/otc/sbl-tonsilat-tablet-otc329027
SBL Calcarea Phosphorica Biochemic Tablet 12X,bottle of 25 gm Biochemic Tablet,110,97,https://www.1mg.com/otc/sbl-calcarea-phosphorica-biochemic-tablet-12x-otc331092
SBL Graphites Dilution 200 CH,bottle of 30 ml Dilution,115,82,https://www.1mg.com/otc/sbl-graphites-dilution-200-ch-otc347752
SBL Conium Maculatum Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-conium-maculatum-dilution-30-ch-otc338338
Dr. Reckeweg Ginkgo Biloba Mother Tincture Q,bottle of 20 ml Mother Tincture,365,329,https://www.1mg.com/otc/dr.-reckeweg-ginkgo-biloba-mother-tincture-q-otc327740
Hapdco Calendula Plus Lotion,bottle of 100 ml Lotion,135,119,https://www.1mg.com/otc/hapdco-calendula-plus-lotion-otc357808
New Life Bach Flower Aspen 30,bottle of 30 ml Dilution,125,116,https://www.1mg.com/otc/new-life-bach-flower-aspen-30-otc386704
Bakson Phytolacca Berry Tablet,bottle of 200 tablets,500,420,https://www.1mg.com/otc/bakson-phytolacca-berry-tablet-otc502895
SBL Andrographis Paniculata Mother Tincture Q,bottle of 30 ml Mother Tincture,105,103,https://www.1mg.com/otc/sbl-andrographis-paniculata-mother-tincture-q-otc338522
SBL Tonicard Gold Drop Homeopathic Medicine,bottle of 30 ml Drop,205,185,https://www.1mg.com/otc/sbl-tonicard-gold-drop-homeopathic-medicine-otc329005
SBL Colocynthis Dilution 30 CH,bottle of 30 ml Dilution,100,99,https://www.1mg.com/otc/sbl-colocynthis-dilution-30-ch-otc338341
Bhargava Lumboral Tablet,bottle of 60 tablets,160,144,https://www.1mg.com/otc/bhargava-lumboral-tablet-otc327475
SBL Stobal Cough Syrup,bottle of 115 ml Syrup,115,104,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc328987
SBL Acidum Phosphoricum Dilution 200 CH,bottle of 30 ml Dilution,115,114,https://www.1mg.com/otc/sbl-acidum-phosphoricum-dilution-200-ch-otc345638
Dr Willmar Schwabe India Damiana Mother Tincture Q,bottle of 30 ml Mother Tincture,150,132,https://www.1mg.com/otc/dr-willmar-schwabe-india-damiana-mother-tincture-q-otc390932
SBL Kali Phosphoricum Biochemic Tablet 12X,bottle of 25 gm Biochemic Tablet,110,96,https://www.1mg.com/otc/sbl-kali-phosphoricum-biochemic-tablet-12x-otc331043
SBL Mercurius Solubilis Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-mercurius-solubilis-dilution-200-ch-otc348311
SBL Azadirachta Indica Mother Tincture Q,bottle of 30 ml Mother Tincture,105,92,https://www.1mg.com/otc/sbl-azadirachta-indica-mother-tincture-q-otc338514
SBL Ocimum Sanctum Mother Tincture Q,bottle of 30 ml Mother Tincture,105,76,https://www.1mg.com/otc/sbl-ocimum-sanctum-mother-tincture-q-otc338436
Bhargava Tumorin Drop,bottle of 30 ml Drop,180,162,https://www.1mg.com/otc/bhargava-tumorin-drop-otc327451
Bakson's Calcarea Fluorica Biochemic Tablet 6X,bottle of 250 biochemic tablets,120,106,https://www.1mg.com/otc/bakson-s-calcarea-fluorica-biochemic-tablet-6x-otc697437
Dr. Reckeweg Sulphur Dilution 30 CH,bottle of 11 ml Dilution,135,120,https://www.1mg.com/otc/dr.-reckeweg-sulphur-dilution-30-ch-otc326404
New Life Aller-N Drop,bottle of 30 ml Drop,110,92,https://www.1mg.com/otc/new-life-aller-n-drop-otc325848
Allen Xcite Dum Drop,bottle of 30 ml Drop,399,367,https://www.1mg.com/otc/allen-xcite-dum-drop-otc330390
Dr Willmar Schwabe India Arnica Montana Dilution 200 CH,bottle of 30 ml Dilution,115,114,https://www.1mg.com/otc/dr-willmar-schwabe-india-arnica-montana-dilution-200-ch-otc372636
SBL Alfalfa Tonic with Ginseng Sugar Free,bottle of 180 ml Tonic,195,172,https://www.1mg.com/otc/sbl-alfalfa-tonic-with-ginseng-sugar-free-otc328978
SBL Gaultheria Procumbens Mother Tincture Q,bottle of 30 ml Mother Tincture,330,290,https://www.1mg.com/otc/sbl-gaultheria-procumbens-mother-tincture-q-otc348919
Haslab Drox 14 Goutrin Drop,bottle of 30 ml Drop,160,141,https://www.1mg.com/otc/haslab-drox-14-goutrin-drop-otc339516
Dr. Reckeweg R83 Food Allergy Drop,bottle of 30 ml Drop,310,273,https://www.1mg.com/otc/dr.-reckeweg-r83-food-allergy-drop-otc327403
Dr Willmar Schwabe India Bacopa Monnieri Brahmi Mother Tincture Q,bottle of 30 ml Mother Tincture,125,110,https://www.1mg.com/otc/dr-willmar-schwabe-india-bacopa-monnieri-brahmi-mother-tincture-q-otc390812
Allen Dewarts Cream,tube of 25 gm Cream,100,69,https://www.1mg.com/otc/allen-dewarts-cream-otc330457
SBL Bio-Combination 4 Tablet,bottle of 25 gm Biocombination Tablet,110,105,https://www.1mg.com/otc/sbl-bio-combination-4-tablet-otc331020
Bakson's Calendula Ointment,tube of 25 gm Ointment,70,62,https://www.1mg.com/otc/bakson-s-calendula-ointment-otc327242
Dr. Reckeweg R33 Epilepsy Drop,bottle of 22 ml Drop,270,243,https://www.1mg.com/otc/dr.-reckeweg-r33-epilepsy-drop-otc326042
Dr. Reckeweg R37 Intestinal Colic Drop,bottle of 22 ml Drop,270,249,https://www.1mg.com/otc/dr.-reckeweg-r37-intestinal-colic-drop-otc327441
Allen Snorid Drop,bottle of 30 ml Drop,170,115,https://www.1mg.com/otc/allen-snorid-drop-otc330383
Wheezal WL28 Piles Drop,bottle of 30 ml Drop,175,158,https://www.1mg.com/otc/wheezal-wl28-piles-drop-otc387902
Dr. Reckeweg Carduus Mar Mother Tincture Q,bottle of 20 ml Mother Tincture,255,229,https://www.1mg.com/otc/dr.-reckeweg-carduus-mar-mother-tincture-q-otc327435
Dr Willmar Schwabe India Nuphar Lutea Mother Tincture Q,bottle of 30 ml Mother Tincture,275,242,https://www.1mg.com/otc/dr-willmar-schwabe-india-nuphar-lutea-mother-tincture-q-otc391411
Dr Willmar Schwabe Germany Essentia Aurea Gold Drop,bottle of 20 ml Drop,330,307,https://www.1mg.com/otc/dr-willmar-schwabe-germany-essentia-aurea-gold-drop-otc327186
SBL Arnica Montana Dilution 1000 CH,bottle of 30 ml Dilution,140,123,https://www.1mg.com/otc/sbl-arnica-montana-dilution-1000-ch-otc338217
Dr Willmar Schwabe India Echinacea Angustifolia Mother Tincture Q,bottle of 30 ml Mother Tincture,220,194,https://www.1mg.com/otc/dr-willmar-schwabe-india-echinacea-angustifolia-mother-tincture-q-otc390939
SBL AF-Tabs Tablet,bottle of 25 gm Tablet,165,148,https://www.1mg.com/otc/sbl-af-tabs-tablet-otc328992
SBL Justicia Adhatoda Dilution 30 CH,bottle of 30 ml Dilution,100,90,https://www.1mg.com/otc/sbl-justicia-adhatoda-dilution-30-ch-otc348017
Dr. Reckeweg Conium Mac Dilution 200 CH,bottle of 11 ml Dilution,160,144,https://www.1mg.com/otc/dr.-reckeweg-conium-mac-dilution-200-ch-otc336003
Allen A90 Ovarian Cysts Drop,bottle of 30 ml Drop,170,150,https://www.1mg.com/otc/allen-a90-ovarian-cysts-drop-otc330237
SBL Causticum Dilution 30 CH,bottle of 30 ml Dilution,100,99,https://www.1mg.com/otc/sbl-causticum-dilution-30-ch-otc338354
Dr Willmar Schwabe India Arsenicum Album Dilution 30 CH,bottle of 30 ml Dilution,100,76,https://www.1mg.com/otc/dr-willmar-schwabe-india-arsenicum-album-dilution-30-ch-otc396377
Dr. Reckeweg Aconitum Napellus Dilution 200 CH,bottle of 11 ml Dilution,160,158,https://www.1mg.com/otc/dr.-reckeweg-aconitum-napellus-dilution-200-ch-otc335450
Dr Willmar Schwabe India Alfalfa Tonic For Children,bottle of 100 ml Tonic,130,114,https://www.1mg.com/otc/dr-willmar-schwabe-india-alfalfa-tonic-for-children-otc407044
SBL Staphysagria Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-staphysagria-dilution-200-ch-otc348744
SBL Apis Mellifica Dilution 200 CH,bottle of 30 ml Dilution,115,101,https://www.1mg.com/otc/sbl-apis-mellifica-dilution-200-ch-otc345899
Medisynth Witch Hazel Cream,tube of 20 gm Cream,100,90,https://www.1mg.com/otc/medisynth-witch-hazel-cream-otc325282
Hapdco Cholerasol Drop,bottle of 30 ml Drop,90,81,https://www.1mg.com/otc/hapdco-cholerasol-drop-otc386096
ADEL 85 Neu-Regen Tonic,bottle of 250 ml Tonic,760,642,https://www.1mg.com/otc/adel-85-neu-regen-tonic-otc327650
Dr. Reckeweg R87 Anti Bacterial Drop,bottle of 30 ml Drop,310,307,https://www.1mg.com/otc/dr.-reckeweg-r87-anti-bacterial-drop-otc326038
Bakson Mig Aid Tablet,bottle of 75 tablets,215,189,https://www.1mg.com/otc/bakson-mig-aid-tablet-otc327318
Dr Willmar Schwabe India Nux Vomica Dilution 200 CH,bottle of 30 ml Dilution,115,114,https://www.1mg.com/otc/dr-willmar-schwabe-india-nux-vomica-dilution-200-ch-otc394789
ADEL 48 Itires Drop,bottle of 20 ml Drop,295,260,https://www.1mg.com/otc/adel-48-itires-drop-otc326079
Dr. Reckeweg Pulsatilla Dilution 200 CH,bottle of 11 ml Dilution,160,141,https://www.1mg.com/otc/dr.-reckeweg-pulsatilla-dilution-200-ch-otc331725
SBL Ammi Visnaga Cream,tube of 25 gm Cream,75,67,https://www.1mg.com/otc/sbl-ammi-visnaga-cream-otc330976
ADEL 33 Apo-Oedem Drop,bottle of 20 ml Drop,295,242,https://www.1mg.com/otc/adel-33-apo-oedem-drop-otc327728
